Reference,Qty,Value,Footprint,Datasheet
A1,1,‎Hailege ‎H-A-1714,Module:Arduino_Nano,http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf
C1,1,0.1,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
"C2,C4",2,47uF,Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,~
C3,1,100uF,Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,~
"D1,D2,D3,D4,D5,D6,D7,D8,D11",9,LED,LED_THT:LED_D3.0mm,~
"J1,J10",2,Conn_02x07_Odd_Even,Connector_IDC:IDC-Header_2x07_P2.54mm_Horizontal,~
J3,1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J11,1,Conn_02x07_Odd_Even,Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical,~
"K1,K2,K3,K4,K5,K6,K7,K8",8,G5V-2(compatible),Relay_THT:Relay_DPDT_Omron_G5V-2,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_2.pdf
Q11,1,2SC1815,Package_TO_SOT_THT:TO-92_Inline,https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf
"R1,R2,R3,R4,R5,R6,R7,R8,R12",9,1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,~
"R9,R13,R14,R15,R16",5,1,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,~
"R10,R11",2,10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,~
RN1,10Kx8,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
U1,1,TD62083AFG,Package_DIP:DIP-18_W7.62mm,http://www.promelec.ru/pdf/1536.pdf
U2,1,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
